uid,cost,availability,reputation,speed,coverd_regions,facility,number_places,rating
289,2.3568028662422607,0.5836060177177279,0.6760583313109355,84.25509259769906,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,5
290,2.7736428724493547,0.6780160015563901,0.39348892058310725,85.14546666812718,"[0, 1, 2, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 21, 26, 27, 30]",car,6,2
291,2.726838563359339,0.28668194423000715,0.6672924634406433,91.69282005060401,"[17, 29, 5, 6, 13]",car,6,4
292,4.556705133153011,0.25327972122167824,0.5502219040861502,108.06255214928841,"[1, 2, 4, 5, 9, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 27, 28]",bus,4,3
293,3.7194918571575135,0.5682469876939341,0.45713844404269416,106.66440082926533,"[0, 5, 6, 7, 9, 10, 12, 13, 16, 18, 19, 21, 22, 23, 24, 26]",car,4,5
294,2.0837754325282813,0.7094077573656219,0.6010482136160207,93.85461471081753,"[1, 3, 4, 5, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29]",car,4,2
295,3.1549943798708497,0.38968022170423666,0.5977701453660726,98.93870349959768,"[2, 25, 9, 10, 11, 13, 14]",car,4,5
296,1.7589103268625292,0.5462348112044647,0.5692701220792686,102.2300232449756,"[3, 6, 10, 16, 20, 21, 25, 26, 30]",car,6,1
297,3.0420178482073204,0.6835450309801658,0.4869782845329659,100.37217218884919,"[1, 13, 6]",bus,2,5
298,3.6821435227277606,0.688510573564971,0.5571338882404675,96.56684317552666,[24],car,2,3
299,3.2587977497795655,0.5576270602273296,0.40120574636591017,111.73830298637503,"[1, 2, 6, 7, 9, 10, 11, 13, 15, 18, 21, 22, 24, 25, 26, 27, 28, 29]",car,4,5
